Country,Gold,Silver,Bronze,Total
Canada,11,8,10,29
Japan,4,5,4
Hungary,1,0,0,1
Slovenia,0,1,1
People's Republic of China,1,6,2,9
Czech Republic,2,2,3,7
Ukraine,1,0,0
Finland,1,1,4,6
ROC,2,6,9,17
Belarus,2,1,0
Kazakhstan,0,0,1,1
Switzerland,5,6,4
United States of America,9,8,6,23
Germany,14,10,7,31
Sweden,7,6,1,14
Netherlands,8,6,6,20
Slovakia,1,2,0,3
France,5,4,6
Latvia,0,0,1
Great Britain,1,0,4,5
Italy,3,2,5
Republic of Korea,5,8,4,17
Poland,1,0,1
Austria,5,3,6
Liechtenstein,0,0,1,1
Norway,14,14,11
Australia,0,2,1,3
New Zealand,0,0,2,2
Belgium,0,1,0,1
Spain,0,0,2,2
