Country,Gold,Silver,Bronze,Total
Italy,2,7,8,17
Republic of Korea,2,5,2,9
Belarus,0,2,0,2
Latvia,0,0,1,1
People's Republic of China,9,4,2
United States of America,8,10,7,25
Sweden,8,5,5,18
Netherlands,8,5,4
Ukraine,0,1,0,1
Austria,7,7,4,18
Switzerland,7,2,5
ROC,6,12,14,32
France,5,7,2,14
Canada,4,8,14
Estonia,0,0,1
Japan,3,6,9,18
Slovenia,2,3,2
Finland,2,2,4
Norway,16,8,13,37
Australia,1,2,1
Great Britain,1,1,0,2
Hungary,1,0,2,3
Belgium,1,0,1,2
Czech Republic,1,0,1,2
New Zealand,2,1,0
Slovakia,1,0,1
Germany,12,10,5
Spain,0,1,0,1
Poland,0,0,1,1
